Player,Team,Position,Total AV,School,College Gms,Yrs at College,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Dak Prescott,DAL,QB,63,1,49,2,6,4,7,0,0.681,1,1,32.25,10.88,,4.79,32.5,116,7.11,
Tyreek Hill,KC,WR,62,4,33,4,65,5,17,4,0.647,2,0,30.50,8.00,13,4.29,40.5,129,6.53,4.06
Michael Thomas,NO,WR,61,1,38,1,4,2,5,1,1.280,2,2,32.13,10.50,18,4.57,35,126,6.8,4.13
Jalen Ramsey,JAX,CB,60,1,41,0,1,1,0,1,5.838,1,8,33.38,9.50,14,4.41,41.5,135,6.94,4.18
Ezekiel Elliott,DAL,RB,58,1,38,0,1,1,0,7,6.239,1,1,31.25,10.25,,4.47,32.5,108,,
DeForest Buckner,SF,DE,55,1,53,1,2,1,1,4,4.548,1,2,34.38,11.75,,5.05,32,116,7.51,4.47
Jared Goff,LAR,QB,52,1,37,0,1,1,0,4,6.984,2,11,32.75,9.00,,4.82,27,110,7.17,
Jack Conklin,TEN,T,49,1,39,0,4,1,1,3,3.974,1,7,35.00,10.38,25,5,30,103,7.63,4.57
Carson Wentz,PHI,QB,48,3,43,2,2,1,1,0,6.669,1,2,33.25,10.00,,4.77,30.5,118,6.86,
Chris Jones,KC,DT,47,1,39,0,6,2,4,4,1.558,2,0,34.50,10.75,26,5.03,24.5,106,7.44,4.62
Derrick Henry,TEN,RB,47,1,41,0,2,2,1,5,1.352,1,7,33.00,8.75,22,4.54,37,130,7.2,4.38
Joey Bosa,SD,DE,45,1,40,0,1,1,0,2,6.468,2,2,33.38,10.25,24,4.86,32,120,6.89,4.21
Joe Thuney,NE,G,44,1,42,2,7,3,2,8,0.803,1,0,32.25,9.63,28,4.95,28.5,110,7.47,4.54
Xavien Howard,MIA,CB,42,1,39,1,7,2,5,3,1.532,1,7,31.25,9.13,11,4.58,33,122,7.18,4.15
Ronnie Stanley,BAL,T,41,1,41,1,2,1,0,4,5.121,1,1,35.63,10.63,,5.2,28.5,,8.03,4.9
Ryan Kelly,IND,C,41,1,46,2,1,1,0,2,2.613,1,1,33.63,9.63,26,5.03,30,103,7.58,4.59
Yannick Ngakoue,JAX,DE,41,1,38,0,13,3,9,0,0.870,2,8,32.50,9.50,26,4.75,34.5,118,7.35,4.5
Blake Martinez,GB,LB,41,1,51,1,15,4,16,6,5.000,1,0,31.63,10.88,22,4.71,28.5,113,6.98,4.2
Justin Simmons,DEN,S,39,1,50,1,9,3,7,0,0.767,2,0,32.63,9.63,16,4.61,40,126,6.58,3.85
Leonard Floyd,CHI,LB,38,1,38,0,4,1,0,17,3.946,1,5,33.13,10.13,,4.6,39.5,127,,
Germain Ifedi,SEA,T,38,1,37,1,5,1,4,4,2.066,2,0,36.00,10.75,24,5.27,32.5,109,,4.75
Myles Jack,JAX,LB,38,1,29,0,1,2,3,1,1.584,2,8,33.63,10.25,19,,40,124,,
